65,into,i,,668172,0.97,,5,zk gk,到…里,prep. 到…里；深入…之中；成为…状况；进入到…之内
66,just,r,,677711,0.94,,1,zk gk,正好,adv. 正好，恰好；只是，仅仅；刚才，刚刚；实在；刚要
67,see,v,,663645,0.96,,5,zk gk,看见,vt. 看见；领会；理解
68,him,p,,677707,0.92,F,5,zk gk,他,pron. 他（宾格）
69,your,a,,659622,0.94,,5,zk gk,你的,pron. 你的，你们的
70,come,v,,628254,0.95,,5,ielts zk gk,来,vi. 来；出现；到达；变成；开始；发生
71,could,v,,617932,0.96,,5,zk,能够,aux. 能够
72,now,r,,605997,0.94,,5,zk gk,现在,adv. 现在；立刻；如今
73,than,c,,579757,0.97,,5,zk gk,比,conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
74,like,i,,568850,0.96,,5,zk gk,喜欢,vt. 喜欢；愿意；想
75,other,j,,547799,0.97,,5,zk gk,其他的,adj. 其他的，另外的
76,how,r,,538893,0.97,,5,zk gk,多么,adv. 多么；多少；如何
77,then,r,,543977,0.95,,5,zk gk,当时,adv. 当时；然后；那么；于是；此外
78,its,a,,539719,0.96,,5,zk gk,它的,pron. 它的
79,our,a,,525107,0.97,,5,zk gk,我们的,pron. 我们的
80,two,m,,511027,0.99,,5,zk gk,两个,n. 两个
81,more,r,,517536,0.97,,5,zk,更多,adv. 更多；更大程度地；此外
82,these,d,,513864,0.95,,5,zk gk,这些,pron. 这些
83,want,v,,514972,0.95,,5,zk gk,需要,vt. 需要；缺少；应该；希望
84,way,n,,470401,0.98,,5,toefl zk gk,道路,n. 道路；方法；方向；习惯；行业
85,look,v,,491707,0.93,F,5,zk gk,看,vt. 看；期待；注意；面向；看上去像
86,first,m,,463566,0.98,,5,zk gk,第一,adv. 第一；首先；优先；宁愿
87,also,r,,464606,0.96,,5,zk gk,也,adv. 也；同样；而且
88,new,j,,435993,0.97,,5,zk gk,新的,adj. 新的，新鲜的；更新的；初见的
89,because,c,,438539,0.96,,5,zk gk,因为,conj. 因为
90,day,n,,432773,0.97,,5,ielts zk gk,一天,n. 一天；白昼；时期
91,more,d,,420170,0.97,,5,zk,更多,adv. 更多；更大程度地；此外
92,use,v,,420781,0.96,,4,zk gk,使用,n. 使用；用途；发挥
93,no,a,,402222,0.98,,5,zk gk,不,adv. 不
94,man,n,,409760,0.95,,5,zk gk,雇工,n. 雇工；男人；人；人类；丈夫
95,find,v,,395203,0.98,,5,zk gk,发现,vt. 发现；认为；感到；获得
96,here,r,,412315,0.93,S,5,zk gk,在这里,adv. 在这里；此时
97,thing,n,,400724,0.94,,5,zk gk,东西,n. 东西；事物；事情；情况
98,give,v,,384503,0.98,,5,ielts zk gk,给,vt. 给；授予；让步；产生；举办
99,many,d,,385348,0.97,,5,zk gk,许多,pron. 许多；许多人
100,well,r,,411776,0.91,S,2,toefl zk gk,满意地,adv. 满意地；适当地；很好地；充分地
101,only,r,,379574,0.98,,5,zk gk,只,adv. 只，仅仅；不料
102,those,d,,378007,0.97,,5,zk gk,那些的,adj. 那些的
103,tell,v,,388155,0.94,,5,zk gk,告诉,vt. 告诉，说；吩咐；辨别；断定
104,one,p,,369553,0.98,,5,ielts zk gk,任何人,pron. 任何人；一个人
105,very,r,,391821,0.92,S,5,zk gk,十足的,adj. 十足的；恰好是，正是；甚至；特有的
106,her,p,,397950,0.89,F,5,zk gk,她的,pron. 她的；她
107,even,r,,361067,0.98,,1,toefl ielts zk gk,偶数的,adj. 偶数的；相等的；平坦的
108,back,r,,367844,0.94,,5,ielts zk gk,背部,n. 背部；后面；靠背；足球等的后卫；书报等的末尾
109,any,d,,348100,0.98,,5,zk gk,任何的,adj. 任何的；所有的；丝毫
110,good,j,,353973,0.96,,5,ielts zk gk,愉快的,adj. 愉快的；好的；虔诚的；优良的
111,woman,n,,341422,0.98,,5,zk gk,女性,n. 女性；妇女；成年女子
112,through,i,,340921,0.98,,5,zk gk,穿过,prep. 穿过；通过；凭借
113,us,p,,351088,0.95,,5,zk,我们,pron. 我们
114,life,n,,333085,0.98,,5,zk gk,寿命,n. 寿命；生活，生存
115,child,n,,333849,0.97,,5,ielts zk gk,儿童,n. 儿童，孩子；子孙；产物
116,there,r,,333433,0.93,S,5,zk gk,在那里,adv. 在那里；在那点上；在那边
117,work,v,,318210,0.98,,5,zk gk,工作,n. 工作；职业；产品；行为；文学、音乐或艺术作品；工厂；操作；[物]功
118,down,r,,329409,0.94,F,2,toefl zk gk,向下,adv. 向下，下去；在下面
119,may,v,,324569,0.95,,4,ielts zk gk,可能,aux. 可能，可以；愿意
120,after,i,,311902,0.98,,5,zk gk,后来,adv. 后来，以后
121,should,v,,310265,0.98,,5,zk gk,应该,aux. 应该；将要；可能；就
122,call,v,,308050,0.97,,5,ielts zk gk,呼叫,vi. 呼叫；拜访；叫牌
123,world,n,,303506,0.97,,5,ielts zk gk,世界,n. 世界；全人类；世俗；领域；宇宙；物质生活
124,over,i,,300349,0.98,,5,zk gk,结束,adv. 结束；越过；从头到尾
125,school,n,,304183,0.95,,5,ielts zk gk,学校,n. 学校；学派；学院；鱼群
126,still,r,,296953,0.97,,5,toefl zk gk,更,adv. 更；仍然；静止地
127,try,v,,294023,0.96,,5,zk gk,试验,vt. 试验；审判；考验；试图，努力
128,in,r,,285035,0.98,,2,ielts zk gk,在…之内,prep. 在…之内；从事于；按照（表示方式）
129,as,r,,281483,0.98,,5,ielts zk gk,因为,conj. 因为；依照；当…时；随着；虽然
130,last,m,,289843,0.95,,2,gk,末尾,n. 末尾，最后；上个；鞋楦（做鞋的模型）
131,ask,v,,284632,0.96,,5,zk gk,问,vt. 问，询问；邀请；要求；需要；讨价
132,need,v,,276744,0.98,,5,zk gk,需要,n. 需要，要求；必要之物；缺乏
133,too,r,,280396,0.96,,5,zk gk,也,adv. 也；太；非常；还；过度；很
134,feel,v,,275214,0.95,,5,ielts zk gk,感觉,vt. 感觉；试探；触摸；认为
135,three,m,,266744,0.98,,5,zk gk,三,n. 三，三个
136,when,r,,268219,0.97,,5,zk gk,既然,conj. 既然；当…时；考虑到
137,state,n,,272193,0.94,,5,cet4 cet6 ky zk gk,情形,n. 情形；国家；州
138,never,r,,262584,0.96,,5,zk gk,决不,adv. 决不；从未
139,become,v,,259102,0.97,,5,ielts zk gk,变成,vi. 变成；变得；成为
140,between,i,,264158,0.94,A,5,zk gk,在…之间,prep. 在…之间
141,high,j,,255936,0.96,,5,zk gk,高的,adj. 高的；高级的；高音调的；崇高的
142,really,r,,263414,0.91,S,5,zk,实际上,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
143,something,p,,254910,0.94,,5,zk gk,某事,pron. 某事；某物
144,most,r,,246360,0.96,,5,ielts zk gk,最,adv. 最；最多；非常，极其；几乎
145,another,d,,240646,0.98,,5,zk gk,另外的,adj. 另外的；不同的；又一，另一
146,much,d,,244507,0.97,,5,zk gk,非常,adv. 非常，很
147,family,n,,243267,0.97,,5,ielts zk gk,家庭,n. 家庭；家族；家属；亲属；子女；僚属
148,own,d,,240452,0.98,,5,zk gk,拥有,vt. 拥有；承认
149,out,i,,242443,0.96,,5,zk gk,在外,adv. 在外；出现；出声地；不流行地；出局
150,leave,v,,240482,0.96,,5,ielts zk gk,离开,vt. 离开；留下；委托；遗忘
151,put,v,,237480,0.96,,5,ielts zk gk,放,vt. 放；表达；移动；安置；赋予
152,old,j,,236577,0.96,,5,zk gk,年老的,adj. 年老的；陈旧的，古老的
153,while,c,,234555,0.97,,4,zk gk,当……的时候,conj. 当……的时候；虽然；然而
154,mean,v,,242198,0.93,S,2,toefl ielts zk gk,低劣的,adj. 低劣的；平均的；卑鄙的
155,on,r,,236980,0.95,,5,ielts zk gk,向前地,adv. 向前地；继续着；作用中，行动中
156,keep,v,,231760,0.96,,5,ielts zk gk,保持,vt. 保持；遵守；经营；饲养
157,student,n,,255047,0.88,A,5,ielts zk gk,学生,n. 学生；学者
158,why,r,,235442,0.95,,5,zk gk,哎呀！什么？,int. 哎呀！什么？
159,let,v,,240300,0.93,S,5,ielts zk gk,允许,vt. 允许，让；出租；假设；妨碍
160,great,j,,225005,0.97,,5,zk gk,伟大的,adj. 伟大的，重大的；极好的，好的；主要的
161,same,d,,222836,0.98,,5,zk gk,相同的,adj. 相同的；同一的；无变化的；上述的（通常与the连用）
162,big,j,,227169,0.96,,5,zk gk,大的,adj. 大的；重要的；量大的
163,group,n,,229435,0.93,A,5,ielts zk gk,组,n. 组；团体
164,begin,v,,218617,0.98,,5,zk gk,开始,vt. 开始
165,seem,v,,219627,0.97,,5,zk gk,似乎,vi. 似乎；像是；装作
166,country,n,,223138,0.95,,5,ielts zk gk,国家,n. 国家；故乡
167,help,v,,216082,0.98,,5,zk gk,帮助,vt. 帮助；治疗；促进；补救
168,talk,v,,229429,0.92,S,5,zk gk,说,vt. 说；谈话；讨论
169,where,c,,213744,0.98,,5,zk gk,在哪里,adv. 在哪里
170,turn,v,,221392,0.94,F,5,zk gk,转动,vt. 转动，使旋转；转弯；兑换；翻过来
171,problem,n,,217728,0.96,,5,zk gk,难题,n. 难题；引起麻烦的人
172,every,a,,212739,0.97,,5,zk gk,每一的,adj. 每一的，每个的；每隔…的
173,start,v,,213952,0.96,,5,zk gk,开始,vt. 开始；启动
174,hand,n,,225247,0.91,F,4,ielts zk gk,手,n. 手，手艺；指针；插手；帮助
175,might,v,,209059,0.98,,1,cet4 ky ielts zk gk,力量,n. 力量；势力；威力
176,American,j,,214968,0.95,,,ielts zk gk,美国人,n. 美国人
177,show,v,,208037,0.98,,5,zk gk,显示,vt. 显示；演出；展出；说明
178,part,n,,207861,0.98,,3,cet4 ky ielts zk gk,部分,n. 部分；角色；零件
179,about,r,,208550,0.97,,5,zk gk,关于,prep. 关于；大约
180,against,i,,204379,0.98,,5,cet4 ky zk gk,反对,prep. 反对，违反；靠；倚；防备
181,place,n,,202427,0.98,,2,ielts zk gk,地方,n. 地方；住所；座位
182,over,r,,208260,0.95,,5,zk gk,结束,adv. 结束；越过；从头到尾
183,such,d,,207065,0.95,,5,zk gk,这样的,adj. 这样的，如此的
184,again,r,,206895,0.94,,5,zk gk,再一次,adv. 再一次；又，此外
185,few,d,,197266,0.97,,5,zk gk,很少的,adj. 很少的；几乎没有的
186,case,n,,200773,0.95,,2,ielts gk,情况,n. 情况；实例；箱
187,most,d,,197086,0.96,,5,ielts zk gk,最,adv. 最；最多；非常，极其；几乎
188,week,n,,199268,0.95,,5,zk gk,周,n. 周，星期
189,company,n,,203345,0.93,,5,toefl ielts zk gk,公司,n. 公司；陪伴，同伴；连队
190,where,r,,194427,0.96,,5,zk gk,在哪里,adv. 在哪里
191,system,n,,200175,0.94,,5,cet4 cet6 ky toefl ielts gk,系统,n. 系统；制度，体制；方法
192,each,d,,196522,0.95,,5,zk gk,每,adj. 每；各自的
193,right,r,,205250,0.9,S,3,zk gk,正确的,adj. 正确的；右方的；直接的
194,program,n,,195985,0.93,A,4,cet4 cet6 ielts,程序,n. 程序；计划；大纲
195,hear,v,,196070,0.93,,5,zk gk,审理,vt. 审理；听说；听到，听
196,so,c,,191893,0.95,,3,zk gk,如此,adv. 如此，这么；确是如此
197,question,n,,192070,0.95,,5,zk gk,问题,n. 问题，疑问；询问；疑问句
198,during,i,,190729,0.95,,5,zk gk,在…的时候,prep. 在…的时候，在…的期间
199,work,n,,187533,0.97,,5,zk gk,工作,n. 工作；职业；产品；行为；文学、音乐或艺术作品；工厂；操作；[物]功
200,play,v,,188328,0.96,,5,zk gk,演奏,vt. 演奏；播放；游戏；扮演；同…比赛
201,government,n,,191314,0.94,,5,cet4 cet6 ky ielts zk gk,政府,n. 政府；管辖；政体
202,run,v,,187325,0.96,,5,zk gk,奔跑,vi. 奔跑；运转；经营
203,small,j,,185463,0.97,,5,zk gk,少的,adj. 少的，小的；不重要的；几乎没有的；微弱的；幼小的
204,number,n,,186005,0.96,,5,zk gk,号码,n. 号码；数字；数；算术；（杂志等的）期
205,off,r,,183854,0.95,,5,zk gk,离开,prep. 离开；脱落
206,always,r,,179474,0.97,,5,zk gk,总是,adv. 总是；永远，一直；常常
207,move,v,,179388,0.97,,5,zk gk,迁居,n. 迁居；步骤；移动
208,like,v,,182341,0.95,,5,zk gk,喜欢,vt. 喜欢；愿意；想
209,night,n,,184511,0.93,F,5,ielts zk gk,夜晚,n. 夜晚，晚上；黑暗，黑夜
210,live,v,,176144,0.98,,3,ielts zk gk,活的,adj. 活的；实况转播的；精力充沛的；生动的
211,Mr,n,,188555,0.91,N,5,,先生,abbr. 先生（Mister）
212,point,n,,177481,0.97,,5,cet4 cet6 ky ielts zk gk,要点,n. 要点；尖端；得分；标点
213,believe,v,,178397,0.96,,5,zk gk,信任,vi. 信任；料想；笃信宗教
214,hold,v,,177368,0.97,,4,ielts zk gk,持有,vt. 持有；保存；拥有；拘留；约束或控制
215,today,r,,183724,0.93,S,5,zk gk,今天,adv. 今天；现今
216,bring,v,,174366,0.98,,5,ielts zk gk,带来,vt. 带来；引起；促使；使某人处于某种情况或境地
217,happen,v,,182714,0.93,S,5,cet4 ky zk gk,发生,vi. 发生；碰巧；偶然遇到
218,next,m,,176306,0.96,,5,zk gk,其次,adv. 其次；然后；下次
219,without,i,,172448,0.98,,5,zk gk,没有,prep. 没有；在…外面；超过
220,before,i,,172769,0.98,,5,zk gk,在…之前,prep. 在…之前，先于
221,large,j,,175611,0.96,,5,zk gk,大的,adj. 大的；广博的；多数的
222,all,r,,177317,0.93,S,5,ielts zk gk,全部的,adj. 全部的
223,million,m,,176895,0.93,N,5,ielts gk,百万,n. 百万；无数
224,must,v,,171043,0.96,,5,zk,必须,aux. 必须，一定；很可能；可以，应当
225,home,n,,170527,0.96,,1,zk gk,家,n. 家，住宅；家乡；产地；避难所
226,under,i,,164766,0.98,,5,zk gk,低于,prep. 低于，少于；在...之下
227,water,n,,167666,0.96,,5,ielts zk gk,水,n. 水；雨水；海水；海域，大片的水
228,room,n,,172472,0.92,F,5,ielts zk gk,房间,n. 房间；空间；机会；余地
229,write,v,,161824,0.98,,5,zk gk,写,vi. 写，写字；写作，作曲；写信
230,mother,n,,169407,0.93,F,5,ielts zk gk,母亲,n. 母亲；大娘；女修道院院长
231,area,n,,165812,0.95,,5,cet4 ky ielts zk gk,面积,n. 面积；区域，地区；范围
232,national,j,,166359,0.95,,5,cet4 cet6 ky ielts zk gk,国家的,adj. 国家的；国民的；民族的；国立的
233,money,n,,164794,0.95,,5,ielts zk gk,钱,n. 钱；货币；财富
234,story,n,,163582,0.96,,5,ielts zk gk,故事,n. 故事；来历；新闻报道；小说；[口]假话
235,young,j,,160011,0.98,,5,zk gk,年轻的,adj. 年轻的；初期的；没有经验的
236,fact,n,,164401,0.95,,5,cet4 ky zk gk,事实,n. 事实；实际；真相
237,month,n,,162685,0.96,,5,ielts zk gk,月,n. 月，一个月的时间
238,different,j,,162411,0.96,,5,ielts zk gk,不同的,adj. 不同的；个别的，与众不同的
239,lot,n,,169570,0.92,S,5,zk gk,抽签,n. 抽签；命运；一堆；一块地；份额
240,right,n,,163259,0.95,,3,zk gk,正确的,adj. 正确的；右方的；直接的
241,study,n,,174069,0.88,A,5,ielts zk gk,学习,n. 学习，研究；学问；课题；书房
242,book,n,,154013,0.98,,5,ielts zk gk,书籍,n. 书籍；帐簿；卷；名册；工作簿
243,eye,n,,169150,0.89,F,5,ielts zk gk,眼睛,n. 眼睛；视力；见解，观点；眼光
244,job,n,,154743,0.96,,5,ielts zk gk,工作,n. 工作；职业
245,word,n,,152891,0.97,,5,zk gk,单词,n. 单词；话语；消息；诺言；命令
246,though,c,,152182,0.97,,5,zk gk,可是,adv. 可是，虽然；然而；不过
247,business,n,,154468,0.95,,5,cet4 cet6 ky ielts zk gk,商业,n. 商业；生意；交易；事情
248,issue,n,,156417,0.94,,5,cet4 cet6 ky toefl ielts,流出,n. 流出；发行物；问题；期号
249,side,n,,152559,0.96,,5,ielts zk gk,方面,n. 方面；侧面；旁边
250,kind,n,,155032,0.95,,2,zk gk,种类,n. 种类；性质
251,four,m,,150646,0.97,,5,zk gk,四,num. 四；四个
252,head,n,,160131,0.91,F,5,toefl zk gk,头,n. 头；上端；最前的部分；头痛；理解力
253,far,r,,148621,0.98,,5,zk gk,很,adv. 很；到很远的距离；遥远地；到很深的程度；久远地
254,black,j,,150718,0.96,,5,ielts zk gk,黑色的,adj. 黑色的；黑人的；邪恶的
255,long,j,,149050,0.97,,2,toefl zk gk,长时间,n. 长时间；长音节
256,both,d,,146338,0.97,,5,zk gk,两者的,adj. 两者的；两个的
257,little,j,,149658,0.94,,5,zk gk,小的,adj. 小的；短暂的；很少的；小巧可爱的
258,house,n,,149251,0.94,,5,toefl ielts zk gk,住宅,n. 住宅；家庭；某种用途的建筑物；机构；议会
259,yes,u,,157364,0.89,S,5,zk gk,是,adv. 是
260,after,c,,142289,0.98,,5,zk gk,后来,adv. 后来，以后
261,since,c,,141264,0.98,,5,zk gk,既然,conj. 既然；因为；由于；自…以来；自…以后
262,long,r,,142007,0.97,,2,toefl zk gk,长时间,n. 长时间；长音节
263,provide,v,,150879,0.91,A,5,cet4 cet6 ky toefl zk gk,规定,vt. 规定；提供；准备；装备
264,service,n,,146122,0.94,,5,ielts zk gk,服务,n. 服务，服侍；服役；仪式
265,around,i,,143766,0.96,,5,zk gk,到处,adv. 到处；大约；在附近
266,friend,n,,142697,0.96,,5,zk gk,朋友,n. 朋友；赞助者；助手
267,important,j,,144194,0.95,,5,ielts zk gk,重要的,adj. 重要的，重大的；有地位的；有权力的
268,father,n,,145051,0.93,F,5,zk gk,父亲,n. 父亲，爸爸；神父；祖先；前辈
269,sit,v,,147185,0.92,F,5,zk gk,坐,vi. 坐；位于
270,away,r,,144713,0.93,F,5,zk gk,离去,adv. 离去，离开；在远处
271,until,c,,140819,0.96,,5,zk gk,在…以前,conj. 在…以前；直到…时
272,power,n,,141357,0.95,,5,cet4 ky ielts gk,能力,n. 能力；力量；功率；幂；势力；政权
273,hour,n,,138955,0.96,,5,zk gk,小时,n. 小时；钟头；课时；…点钟
274,game,n,,146311,0.92,N,5,zk gk,游戏,n. 游戏；比赛
275,often,r,,140731,0.95,,5,zk gk,常常,adv. 常常，时常
276,yet,r,,135484,0.98,,5,zk gk,还,adv. 还；但是；已经
277,line,n,,135986,0.98,,5,cet4 cet6 ky ielts zk gk,绳,n. 绳；排；路线，航线
278,political,j,,144437,0.92,A,5,cet4 cet6 ky ielts gk,政治的,adj. 政治的；党派的
279,end,n,,134104,0.98,,5,ielts zk gk,结束,n. 结束；末端；目标；死亡；尽头
280,among,i,,138192,0.94,,5,zk gk,在…中间,prep. 在…中间；在…之中
281,ever,r,,135774,0.96,,5,zk gk,曾经,adv. 曾经；究竟；永远
282,stand,v,,140937,0.92,F,5,toefl ielts zk gk,位于,vi. 位于；站立；停滞
283,bad,j,,134910,0.96,,5,zk gk,坏的,adj. 坏的；严重的；劣质的
284,lose,v,,134102,0.97,,5,cet4 cet6 ky zk gk,使沉溺于,vt. 使沉溺于；浪费；遗失；使迷路；错过
285,however,r,,142282,0.91,A,5,cet4 ky zk gk,无论如何,adv. 无论如何；不管怎样
286,member,n,,134731,0.95,,5,zk gk,成员,n. 成员；会员；议员
287,pay,v,,133133,0.96,,5,ielts zk gk,支付,vt. 支付，付；偿还，补偿
288,law,n,,133706,0.95,,5,cet4 cet6 ky ielts zk gk,法律,n. 法律；法学；诉讼；法治；司法界；规律
289,meet,v,,128737,0.98,,5,zk gk,遇见,vt. 遇见；满足；对付
290,car,n,,133571,0.94,,5,zk gk,汽车,n. 汽车；车厢
291,city,n,,132684,0.95,,4,ielts zk gk,城市,n. 城市，都市
292,almost,r,,127907,0.98,,5,zk gk,差不多,adv. 差不多，几乎
293,include,v,,133563,0.93,A,5,cet4 cet6 ky zk gk,包含,vt. 包含，包括
294,continue,v,,126029,0.98,,5,cet4 cet6 ky zk gk,仍旧,vi. 仍旧，连续；继续，延续
295,set,v,,127369,0.97,,3,ielts zk gk,集合,n. 集合；一套；布景；装置；趋势
296,later,r,,126495,0.98,,5,cet4 cet6 ky gk,随后,adv. 随后；稍后；后来
297,community,n,,133057,0.93,A,5,cet4 cet6 ky toefl ielts,社区,n. 社区；团体；共同体；群落
298,much,r,,126029,0.98,,5,zk gk,非常,adv. 非常，很
299,name,n,,127139,0.97,,5,zk gk,名称,n. 名称，名字；姓名；名誉
300,five,m,,125571,0.97,,5,zk gk,五,n. 五，五个；[口]五美元钞票
301,once,r,,126203,0.97,,5,ielts zk gk,一次,adv. 一次；曾经
302,white,j,,126760,0.96,,5,zk gk,白色的,adj. 白色的；白种的；纯洁的
303,least,r,,123961,0.98,,5,cet4 cet6 ky ielts zk gk,最小的,adj. 最小的；最少的（little的最高级）
304,president,n,,134203,0.9,S,5,cet4 cet6 ky zk gk,总统,n. 总统；校长；董事长
305,learn,v,,124346,0.97,,5,ielts zk gk,学习,vt. 学习；认识到；得知
306,real,j,,124187,0.97,,5,cet4 cet6 ky zk gk,真实的,adj. 真实的；实在的；实际的
307,change,v,,123183,0.98,,5,zk gk,改变,vt. 改变；交换
308,team,n,,131489,0.92,N,5,cet4 cet6 ky toefl ielts zk gk,队,n. 队；组
309,minute,n,,126660,0.95,,1,toefl ielts zk gk,片刻,n. 片刻，一会儿；分，分钟；备忘录，笔记；会议记录
310,best,j,,124850,0.96,,,ielts,最好的人,n. 最好的人，最好的事物；最佳状态
311,several,d,,124039,0.97,,5,ielts zk gk,几个的,adj. 几个的；各自的
312,idea,n,,122140,0.98,,5,ielts zk gk,主意,n. 主意；概念；想法
313,kid,n,,126428,0.95,,4,cet4 ky zk gk,小孩,n. 小孩；小山羊
314,body,n,,125165,0.96,,5,zk,身体,n. 身体；主体；团体；主要部分；大量
315,information,n,,127331,0.94,,5,ielts zk gk,信息,n. 信息，资料；通知；情报；知识
316,nothing,p,,126717,0.94,F,5,ielts zk gk,没什么,neg. 没什么；毫不
317,ago,r,,125252,0.95,,5,zk gk,以前,adv. 以前，以往
318,right,j,,126278,0.94,,3,zk gk,正确的,adj. 正确的；右方的；直接的
319,lead,v,,122691,0.97,,2,cet4 ky toefl zk gk,铅,n. 铅；领导；导线；榜样；石墨
